ID_sheet,ID,type,location_name,Tunnelwall,Borehole_interval,Borehole_depth_top,Borehole_depth_bottom,Tunnel_Location_tm,Date_ddmmmyy,time_hhmm,overburden_m,geology,categories,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,CO3_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,d18O_ppt_2,dD_ppt_2,CBE_pc,mixing_st1nit1_2,notes,Name,pH,EC,Q,Temperature,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Strontium,Lab_pH,Lab_EC,qPCR_mean,qPCR_std,Map ID,python_ID,python_date,Excel_TM,Excel_Overburden,Excel_Geology,Excel_Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSFKLake1.20211011,,,,,0.271490266,0.081355549,,,0.594908176,,3.004152933,,,,,,,,,,14409460.91,5247167.236,,BdSFKLake1,20211011,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSfkLake1.20211011,,,,,0.27,0.08,,,0.59,,3,,,,,,,,,,,,,BdSfkLake1,20211011,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSFKLake3.20210827,6.9,20.9,,5.9,,,,,,,,,,,,,,,,,1733468.086,647325.5088,,BdSFKLake3,20210827,,,,surface
288,riale_di_gallinoso_bridge_20,stream,BdSGallinosoBridge,,,,,,27.04.2021,18:30,,,surface,0.52,0.17,1.58,7.96,,0,2.37,1.11,0.41,9.25,,,8.55,,43.1,,,,1,-13.03,-93.52,,,,,,BdSGallinosoBridge.20210427,,,,,0.52,0.17,,,1.58,,7.96,0,2.37,,1.11,0.41,9.25,,8.55,43.1,,,,BdSGallinosoBridge,20210427,,,,surface
490,riale_di_gallinoso_bridge_38,stream,BdSGallinosoBridge,,,,,,27.06.2021,16:30,,,surface,0.87,0.01,0.45,7.85,,0.24,1.81,0.83,0.23,9.81,9.4,7.3,7.077,46.8,38.6,33.4,146,,1,,,-13.25,-92.78,,,,BdSGallinosoBridge.20210627,,46.8,,9.4,0.87,0.01,,,0.45,,7.85,0.24,1.81,,0.83,0.23,9.81,,7.077,38.6,,,,BdSGallinosoBridge,20210627,,,,surface
479,riale_di_gallinoso_up_stream_II_38,stream,BdSGallinosoUpstrII,,,,,,27.06.2021,11:25,,,surface,0.53,0,0.01,0.2,,0,0.5,0.27,0.11,3.73,12.2,7.2,9.057,14.4,9.2,10,151,,1,,,-13.51,-95.96,,,,BdSGallinosoUpstrII.20210627,,14.4,,12.2,0.53,0,,,0.01,,0.2,0,0.5,,0.27,0.11,3.73,,9.057,9.2,,,,BdSGallinosoUpstrII,20210627,,,,surface
480,riale_di_gallinoso_up_stream_III_38,stream,BdSGallinosoUpstrIII,,,,,,27.06.2021,11:45,,,surface,1.01,0,0.27,0.23,,0,0.58,0.24,0.1,2.93,10.4,6.9,8.738,9.1,7.1,6.5,157,,1,-14.26,-99.92,-14.45,-99.25,,,,BdSGallinosoUpstrIII.20210627,,9.1,,10.4,1.01,0,,,0.27,,0.23,0,0.58,,0.24,0.1,2.93,,8.738,7.1,,,,BdSGallinosoUpstrIII,20210627,,,,surface
481,riale_di_gallinoso_up_stream_IV_38,stream,BdSGallinosoUpstrIV,,,,,,27.06.2021,12:01,,,surface,0,0.01,0.76,0.59,,0,1.22,0.35,0.29,2.26,11.2,7,,8.8,,6.3,148,,1,-12.71,-88.86,-12.89,-88.15,,,,BdSGallinosoUpstrIV.20210627,,8.8,,11.2,0,0.01,,,0.76,,0.59,0,1.22,,0.35,0.29,2.26,,,,,,,BdSGallinosoUpstrIV,20210627,,,,surface
535,lakeAA3_45,lake,BdSlakeAA2aa,,,,,,21.08.2021,13:25,,,surface,,,,,,,,,,,6.3,6.8,,10.3,,7.5,,,,,,,,,,,BdSlakeAA2.20210821,6.8,10.3,,6.3,0.14,0.05,,,0.46,,0.13,,,,,,,,,,1359307.72,414708.0506,,BdSlakeAA2,20210821,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSlakeAA2_DUP1.20210821,,,,,0.21,0.02,,,0.51,,0.14,,,,,,,,,,,,,BdSlakeAA2_DUP1,20210821,,,,surface
