ID_sheet,ID,type,location_name,Tunnelwall,Borehole_interval,Borehole_depth_top,Borehole_depth_bottom,Tunnel_Location_tm,Date_ddmmmyy,time_hhmm,overburden_m,geology,categories,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,CO3_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,d18O_ppt_2,dD_ppt_2,CBE_pc,mixing_st1nit1_2,notes,Name,pH,EC,Q,Temperature,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Strontium,Lab_pH,Lab_EC,qPCR_mean,qPCR_std,Map ID,python_ID,python_date,Excel_TM,Excel_Overburden,Excel_Geology,Excel_Category
13,1203A_14,fracture,BdTfrac1203A,,,,,1203.1,19.01.2021,,614,granite,subsurface,1.39,2.01,0,109.4,10,0,8.43,0.14,0.25,54.48,10.2,8.43,7.75,250,226,177,167,0.0005,1,-13.52,-93.4,,,8.93,,,BdTfrac1203A.20210119,8.43,250,0.00226,10.2,1.39,2.01,,,,,109.4,,8.43,,0.14,0.25,54.48,,7.75,226,,,,BdTfrac1203A,20210119,1203.1,614,granite,subsurface
14,1203A_17,fracture,BdTfrac1203A,,,,,1203.1,04.03.2021,,614,granite,subsurface,,,0,,12.5,,,,,,10.2,8.34,8.48,270,234,192,210,0.0005,1,-13.49,-93.34,,,999,,,BdTfrac1203A.20210304,8.34,270,0.000483,10.2,,,,,,,,,,,,,,,,,,,,BdTfrac1203A,20210304,1203.1,614,granite,subsurface
159,1203B_17,fracture,BdTfrac1203B,,,,,1203.2,04.03.2021,,614,granite,subsurface,,,,,,,,,,,9.5,8.63,,254,,180,210,0.0027,1,,,,,,,,BdTfrac1203B.20210304,8.63,254,0.002666,9.5,,,,,,,,,,,,,,,,,,,,BdTfrac1203B,20210304,1203.2,614,granite,subsurface
158,1203B_14,fracture,BdTfrac1203B,,,,,1203.2,19.01.2021,,614,granite,subsurface,,,,,,,,,,,9.2,8.67,,234,,166,168,0.0045,1,,,,,,,,BdTfrac1203B.20210119,8.67,234,0.002619,9.2,,,,,,,,,,,,,,,,,,,,BdTfrac1203B,20210119,1203.2,614,granite,subsurface
17,1303_07,fracture,BdTfrac1303,SW_NE,,,,1303,03.11.2020,,698,granite,subsurface,0.53,0.24,0,10.9,,0,1.67,0.1,0.26,12.91,8.6,8.04,8.81,60.4,57.2,43,117,0.02,1,-13.38,-92.36,,,15.13,,,BdTfrac1303.20201103,8.04,60.4,0.02,8.6,0.53,0.24,,,,,10.9,,1.67,,0.1,0.26,12.91,,8.812,57.2,,,,BdTfrac1303,20201103,1303,698,granite,subsurface
15,1303_01,fracture,BdTfrac1303,SW_NE,,,,1303,20.08.2020,,698,granite,subsurface,1.04,2.98,0.89,11.69,,0.07,2.17,0.15,1.09,13.97,9.3,9.2,8.44,88.6,61.4,63.7,,0.019,1,,,,,10.69,,,BdTfrac1303.20200820,,,0.019,9.3,1.04,2.98,,,0.89,,11.69,0.07,2.17,,0.15,1.09,13.97,,8.439,61.4,,,,BdTfrac1303,20200820,1303,698,granite,subsurface
18,1303_08,fracture,BdTfrac1303,SW_NE,,,,1303,15.12.2020,,698,granite,subsurface,1.01,0.29,0.75,13,15,0,1.68,0.09,0.23,14.04,7.8,8.33,8.94,62,58.6,44.2,171,0.0175,1,-13.23,-91.8,,,10.07,,,BdTfrac1303.20201215,8.33,62,0.0175,7.8,1.01,0.29,,,0.75,,13,,1.68,,0.09,0.23,14.04,,8.9,58.6,,,,BdTfrac1303,20201215,1303,698,granite,subsurface
20,1303_17,fracture,BdTfrac1303,SW_NE,,,,1303,04.03.2021,,698,granite,subsurface,0.45,0.56,1.03,12.09,18,0,2.05,0,,13.75,7.4,9.3,8.74,70.1,58.1,49.7,188,0.015,1,-13.24,-91.43,,,10.75,,,BdTfrac1303.20210304,9.3,70.1,0.015,7.4,0.45,0.56,,,1.03,,12.09,0,2.05,,0,0,13.75,,8.74,58.1,,,,BdTfrac1303,20210304,1303,698,granite,subsurface
19,1303_14,fracture,BdTfrac1303,SW_NE,,,,1303,19.01.2021,,698,granite,subsurface,0.78,0.32,0.95,12.08,10,0,1.67,0.08,0.23,13.85,6.8,9.36,8.02,62.1,55.3,44.6,168,0.015,1,-13.27,-91.58,,,22.64,,,BdTfrac1303.20210119,9.36,62.1,0.014,6.8,0.78,0.32,,,0.95,,12.08,,1.67,,0.08,0.23,13.85,,8.02,55.3,,,,BdTfrac1303,20210119,1303,698,granite,subsurface
16,1303_03,fracture,BdTfrac1303,SW_NE,,,,1303,25.09.2020,,698,granite,subsurface,0.77,0.43,0.58,11.34,,0.64,1.59,0.21,0.2,13.4,11.2,9.3,8.58,73.5,59.2,50.35,,0.012,1,-13.38,-92.48,,,21.77,,,BdTfrac1303.20200925,,,0.012,12.2,0.77,0.43,,,0.58,,11.34,0.64,1.59,,0.21,0.2,13.4,,8.581,59.2,,,,BdTfrac1303,20200925,1303,698,granite,subsurface
16,1303_03,fracture,BdTfrac1303,SW_NE,,,,1303,25.09.2020,,698,granite,subsurface,0.77,0.43,0.58,11.34,,0.64,1.59,0.21,0.2,13.4,11.2,9.3,8.58,73.5,59.2,50.35,,0.012,1,-13.38,-92.48,,,21.77,,,BdTfrac1303.20200925,,,0.012,10.2,0.77,0.43,,,0.58,,11.34,0.64,1.59,,0.21,0.2,13.4,,8.581,59.2,,,,BdTfrac1303,20200925,1303,698,granite,subsurface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTfrac1303.20210119_duplicate,,,,,0.8,0.24,,,1.32,,11.94,,1.72,,0.09,0.23,13.84,,8.061,54.8,,,,BdTfrac1303,20210119,1303,698,granite,subsurface
471,1303_37,fracture,BdTfrac1303,SW_NE,,,,1303,01.06.2021,16:25,698,granite,subsurface,1.27,0.79,0.85,44.29,,0,5.21,0.17,0.02,25.64,8.4,8.6,8.123,134.1,110.6,95,105,,1,-13.28,-92.65,,,,,,BdTfrac1303.20210601,8.6,134.1,,8.4,1.27,0.79,,,0.85,,44.29,0,5.21,,0.17,0.02,25.64,,8.123,110.6,,,,BdTfrac1303,20210601,1303,698,granite,subsurface
26,1306A_14,fracture,BdTfrac1306A,SW_NE,,,,1306.1,19.01.2021,,698,granite,subsurface,0.98,0.64,1.29,27.4,15,0,3.05,0.09,0.23,20.61,7.9,9.23,8.05,97.3,86.7,69.1,171,0.0269,1,-13.29,-91.65,,,11.52,,,BdTfrac1306A.20210119,9.23,97.3,0.269,7.9,0.98,0.64,,,1.29,,27.4,,3.05,,0.09,0.23,20.61,,8.05,86.7,,,,BdTfrac1306A,20210119,1304,698,granite,subsurface
22,1306A_02,fracture,BdTfrac1306A,SW_NE,,,,1306.1,16.09.2020,,698,granite,subsurface,1,0.78,0.53,27.64,,0.59,3.02,0.35,0.21,19.79,9.1,9.14,8.03,119.3,92,84.8,,0.05,1,,,,,12.9,,,BdTfrac1306A.20200916,,,0.05,9.1,1,0.78,,,0.53,,27.64,0.59,3.02,,0.35,0.21,19.79,,8.034,92,,,,BdTfrac1306A,20200916,1304,698,granite,subsurface
23,1306A_03,fracture,BdTfrac1306A,SW_NE,,,,1306.1,25.09.2020,,698,granite,subsurface,0.78,0.71,0.6,26,,0.64,2.92,0.29,0.2,20.18,10.8,9.7,8.6,113.05,91.4,78.3,,0.045,1,-13.45,-92.74,,,19.9,,,BdTfrac1306A.20200925,,,0.045,11.9,0.78,0.71,,,0.6,,26,0.64,2.92,,0.29,0.2,20.18,,8.601,91.4,,,,BdTfrac1306A,20200925,1304,698,granite,subsurface
23,1306A_03,fracture,BdTfrac1306A,SW_NE,,,,1306.1,25.09.2020,,698,granite,subsurface,0.78,0.71,0.6,26,,0.64,2.92,0.29,0.2,20.18,10.8,9.7,8.6,113.05,91.4,78.3,,0.045,1,-13.45,-92.74,,,19.9,,,BdTfrac1306A.20200925,,,0.045,9.7,0.78,0.71,,,0.6,,26,0.64,2.92,,0.29,0.2,20.18,,8.601,91.4,,,,BdTfrac1306A,20200925,1304,698,granite,subsurface
515,1306A_39,fracture,BdTfrac1306A,SW_NE,,,,1306.1,08.07.2021,17:10,,granite,subsurface,1.11,0.58,0.9,30.52,,0,4.04,0.17,0.04,21.21,8.2,8.7,,109.4,,77.9,137,0.039,1,,,,,,,,BdTfrac1306A.20210708,8.7,109.4,0.039,8.2,1.11,0.58,,,0.9,,30.52,0,4.04,,0.17,0.04,21.21,,,,,,,BdTfrac1306A,20210708,1304,698,granite,subsurface
24,1306A_07,fracture,BdTfrac1306A,SW_NE,,,,1306.1,03.11.2020,,698,granite,subsurface,0.64,0.61,0.48,26.04,,0,3.02,0.13,0.25,19.59,8.6,8.2,8.72,94.4,89.8,67,133,0.0385,1,-13.37,-92.36,,,10.16,,,BdTfrac1306A.20201103,8.2,94.4,0.0385,8.6,0.64,0.61,,,0.48,,26.04,,3.02,,0.13,0.25,19.59,,8.718,89.8,,,,BdTfrac1306A,20201103,1304,698,granite,subsurface
25,1306A_08,fracture,BdTfrac1306A,SW_NE,,,,1306.1,15.12.2020,,698,granite,subsurface,1.24,0.61,0,29.62,15,0,3.07,0.1,0.24,21.1,8.5,8.09,8.83,91.8,92.2,64.3,177,0.038,1,-13.07,-91.27,,,9.65,,,BdTfrac1306A.20201215,8.09,91.8,0.03806,8.5,1.24,0.61,,,,,29.62,,3.07,,0.1,0.24,21.1,,8.8,92.2,,,,BdTfrac1306A,20201215,1304,698,granite,subsurface
21,1306A_01,fracture,BdTfrac1306A,SW_NE,,,,1306.1,20.08.2020,,698,granite,subsurface,1.33,3.28,0.89,25.46,,0,3.19,0.04,1.16,34.95,10,9.04,8.32,124.5,96,88.4,,0.036,1,,,,,32.44,,,BdTfrac1306A.20200820,,,0.036,10,1.33,3.28,,,0.89,,25.46,,3.19,,0.04,1.16,34.95,,8.315,96,,,,BdTfrac1306A,20200820,1304,698,granite,subsurface
426,1306A_35,fracture,BdTfrac1306A,SW_NE,,,,1306.1,23.05.2021,15:00,698,granite,subsurface,1.04,0.6,2.45,30.8,,0,3.74,0.15,0,21.55,8.3,13.5,8.565,113.5,94.2,80.4,119,0.03,1,-13.21,-92.28,,,,,,BdTfrac1306A.20210523,,113.5,0.03,8.3,1.04,0.6,,,2.45,,30.8,0,3.74,,0.15,0,21.55,,8.565,94.2,,,,BdTfrac1306A,20210523,1304,698,granite,subsurface
27,1306A_17,fracture,BdTfrac1306A,SW_NE,,,,1306.1,04.03.2021,,698,granite,subsurface,0.67,0.65,0.67,27.09,18,0,3.36,0,0.25,19.25,8.2,9.2,8.67,108.9,90.9,77.3,192,0.0364,1,-13.28,-91.74,,,8.54,,,BdTfrac1306A.20210304,9.2,108.9,,8.2,0.67,0.65,,,0.67,,27.09,,3.36,,0,0.25,19.25,,8.67,90.9,,,,BdTfrac1306A,20210304,1304,698,granite,subsurface
470,1306A_37,fracture,BdTfrac1306A,SW_NE,,,,1306.1,01.06.2021,16:23,698,granite,subsurface,1.18,0.6,0.94,31.54,,0,3.81,0.17,0.01,21.18,7.6,8.8,8.16,112,91.3,79.6,100,,1,-13.26,-92.31,,,,,,BdTfrac1306A.20210601,8.8,112,,7.6,1.18,0.6,,,0.94,,31.54,0,3.81,,0.17,0.01,21.18,,8.16,91.3,,,,BdTfrac1306A,20210601,1304,698,granite,subsurface
32,1306B_08,fracture,BdTfrac1306B,SW_NE,,,,1306.2,15.12.2020,,698,granite,subsurface,1.62,1.72,0,55.89,15,0,7.03,0.1,0.24,29.61,9.2,7.9,8.72,147.3,141.5,105,181,0.24,1,-13.4,-92.8,,,6.16,,,BdTfrac1306B.20201215,7.9,147.3,0.24,9.2,1.62,1.72,,,,,55.89,,7.03,,0.1,0.24,29.61,,8.7,141.5,3103.219047,746.3150168,,BdTfrac1306B,20201215,1305,698,granite,subsurface
33,1306B_14,fracture,BdTfrac1306B,SW_NE,,,,1306.2,19.01.2021,,698,granite,subsurface,1.27,1.7,0.44,54.82,10,0,7.12,0.11,0.23,29.5,8.6,9.21,7.97,149.8,131.1,106,177,0.2333,1,-13.29,-92.03,,,11.09,,,BdTfrac1306B.20210119,9.21,149.8,0.233,8.6,1.27,1.7,,,0.44,,54.82,,7.12,,0.11,0.23,29.5,,7.97,131.1,,,,BdTfrac1306B,20210119,1305,698,granite,subsurface
29,1306B_02,fracture,BdTfrac1306B,SW_NE,,,,1306.2,16.09.2020,,698,granite,subsurface,1.3,1.6,0.4,53.33,,0.97,7.31,0.67,0.25,28.22,10.4,9.1,8.01,185,137.2,85,,0.22,1,,,,,11.7,,,BdTfrac1306B.20200916,,,0.22,10.4,1.3,1.6,,,0.4,,53.33,0.97,7.31,,0.67,0.25,28.22,,8.008,137.2,,,,BdTfrac1306B,20200916,1305,698,granite,subsurface
31,1306B_07,fracture,BdTfrac1306B,SW_NE,,,,1306.2,03.11.2020,,698,granite,subsurface,0.91,1.73,0,50.05,,0,7.15,0.16,0.28,27.3,9.1,8.66,8.63,142.1,135.5,101,160,0.16,1,-13.43,-93.02,,,8.76,,,BdTfrac1306B.20201103,8.66,142.1,0.16,9.1,0.91,1.73,,,,,50.05,,7.15,,0.16,0.28,27.3,,8.633,135.5,,,,BdTfrac1306B,20201103,1305,698,granite,subsurface
30,1306B_03,fracture,BdTfrac1306B,SW_NE,,,,1306.2,25.09.2020,,698,granite,subsurface,1.17,2.19,0,58.01,,0,7.81,0.13,0.21,28.82,11.5,9.12,8.55,178.05,148.6,122.5,,0.1,1,-13.3,-93.31,,,5.95,,,BdTfrac1306B.20200925,,,0.1,12.4,1.17,2.19,,,,,58.01,,7.81,,0.13,0.21,28.82,,8.548,148.6,,,,BdTfrac1306B,20200925,1305,698,granite,subsurface
30,1306B_03,fracture,BdTfrac1306B,SW_NE,,,,1306.2,25.09.2020,,698,granite,subsurface,1.17,2.19,0,58.01,,0,7.81,0.13,0.21,28.82,11.5,9.12,8.55,178.05,148.6,122.5,,0.1,1,-13.3,-93.31,,,5.95,,,BdTfrac1306B.20200925,,,0.1,10.6,1.17,2.19,,,,,58.01,,7.81,,0.13,0.21,28.82,,8.548,148.6,,,,BdTfrac1306B,20200925,1305,698,granite,subsurface
28,1306B_01,fracture,BdTfrac1306B,SW_NE,,,,1306.2,20.08.2020,,698,granite,subsurface,1.77,3.92,0,49.95,,0.01,7.13,0.04,1.46,41.8,10.6,9.25,8.24,190,149.6,134,,0.083,1,,,,,25.39,,,BdTfrac1306B.20200820,,,0.083,10.6,1.77,3.92,,,,,49.95,0.01,7.13,,0.04,1.46,41.8,,8.241,149.6,,,,BdTfrac1306B,20200820,1305,698,granite,subsurface
34,1306B_17,fracture,BdTfrac1306B,SW_NE,,,,1306.2,04.03.2021,,698,granite,subsurface,0.84,1.79,0,58.23,20,0,8,0.12,0.26,27.58,8.8,9.11,8.54,172.7,146.5,123,187,0.238,1,-13.39,-92.74,,,2.53,,,BdTfrac1306B.20210304,9.11,172.7,,8.8,0.84,1.79,,,,,58.23,0,8,,0.12,0.26,27.58,,8.54,146.5,,,,BdTfrac1306B,20210304,1305,698,granite,subsurface
469,1306B_37,fracture,BdTfrac1306B,SW_NE,,,,1306.2,01.06.2021,16:17,698,granite,subsurface,1.45,1.61,0.86,58.29,,0,7.63,0.17,0.01,29.38,8.9,8.8,8.088,266,138.5,118,98,,1,-13.33,-92.92,,,,,,BdTfrac1306B.20210601,8.8,266,,8.9,1.45,1.61,,,0.86,,58.29,0,7.63,,0.17,0.01,29.38,,8.088,138.5,,,,BdTfrac1306B,20210601,1305,698,granite,subsurface
38,1306C_07,fracture,BdTfrac1306C,SW_NE,,,,1306.3,03.11.2020,,698,granite,subsurface,1.17,2.34,0,71.11,,0,9.62,0.14,0.25,33.62,10.5,8.5,8.6,180.6,171.7,128,159,,1,-13.55,-93.44,,,6.33,,,BdTfrac1306C.20201103,8.5,180.6,111,10.5,1.17,2.34,,,,,71.11,,9.62,,0.14,0.25,33.62,,8.6,171.7,4314.205537,183.7533646,,BdTfrac1306C,20201103,1306,698,granite,subsurface
36,1306C_02,fracture,BdTfrac1306C,SW_NE,,,,1306.3,16.09.2020,,698,granite,subsurface,1.46,2.41,0,73.86,,0.08,10.34,0.32,0.22,35.78,11.8,8.99,7.97,229,173.7,164,,0.102,1,,,,,8.24,,,BdTfrac1306C.20200916,,,0.102,11.8,1.46,2.41,,,,,73.86,0.08,10.34,,0.32,0.22,35.78,,7.97,173.7,,,,BdTfrac1306C,20200916,1306,698,granite,subsurface
39,1306C_08,fracture,BdTfrac1306C,SW_NE,,,,1306.3,15.12.2020,,698,granite,subsurface,1.87,2.57,0.56,76.9,10,0.01,10.01,0.12,0.24,36.93,10.1,7.93,8.69,179.4,183.5,128,184,0.1,1,-13.41,-93.51,,,7.3,,,BdTfrac1306C.20201215,7.93,179.4,0.1,10.1,1.87,2.57,,,0.56,,,0.01,10.01,,0.12,0.24,36.93,,8.7,183.5,2067.688912,490.7235671,,BdTfrac1306C,20201215,1306,698,granite,subsurface
40,1306C_14,fracture,BdTfrac1306C,SW_NE,,,,1306.3,19.01.2021,,698,granite,subsurface,1.48,2.34,0.45,73.52,10,0.01,9.88,0.12,0.24,35.71,9.3,9.14,7.97,184.8,168.2,131,171,0.1,1,-13.52,-92.92,,,8.97,,,BdTfrac1306C.20210119,9.14,184.8,0.1,9.3,1.48,2.34,,,0.45,,73.52,0.01,9.88,,0.12,0.24,35.71,,7.97,168.2,3776.845691,779.7156154,,BdTfrac1306C,20210119,1306,698,granite,subsurface
514,1306C_39,fracture,BdTfrac1306C,SW_NE,,,,1306.3,08.07.2021,17:00,,granite,subsurface,1.72,2.31,0.73,76.08,,0,10.37,0.19,0.04,34.09,9.7,8.8,,199.7,,142,135,0.0856,1,,,,,,,,BdTfrac1306C.20210708,8.8,199.7,0.0856,9.7,1.72,2.31,,,0.73,,76.08,0,10.37,,0.19,0.04,34.09,,,,,,,BdTfrac1306C,20210708,1306,698,granite,subsurface
425,1306C_35,fracture,BdTfrac1306C,SW_NE,,,,1306.3,23.05.2021,14:57,698,granite,subsurface,1.69,2.43,2.26,76.72,,0,10.8,0.19,0,40.46,10.2,13,8.536,202,174.2,144,120,0.081,1,-13.43,-93.29,,,,,,BdTfrac1306C.20210523,,202,0.081,10.2,1.69,2.43,,,2.26,,76.72,0,10.8,,0.19,0,40.46,,8.536,174.2,,,,BdTfrac1306C,20210523,1306,698,granite,subsurface
35,1306C_01,fracture,BdTfrac1306C,SW_NE,,,,1306.3,20.08.2020,,698,granite,subsurface,1.95,4.5,0.9,68.41,,0.02,9.74,0.06,1.1,34.59,11.5,9.1,8.22,238,188.5,169,,0.07,1,,,,,7.77,,,BdTfrac1306C.20200820,,,0.07,11.5,1.95,4.5,,,0.9,,68.41,0.02,9.74,,0.06,1.1,34.59,,8.22,188.5,,,,BdTfrac1306C,20200820,1306,698,granite,subsurface
37,1306C_03,fracture,BdTfrac1306C,SW_NE,,,,1306.3,25.09.2020,,698,granite,subsurface,1.48,2.84,0.4,73.64,,0.01,9.74,0.39,0.2,34.28,12.2,9.01,8.57,226.5,178.6,155.5,,0.05,1,-13.63,-93.91,,,5.26,,,BdTfrac1306C.20200925,,,0.05,12.8,1.48,2.84,,,0.4,,73.64,0.01,9.74,,0.39,0.2,34.28,,8.565,178.6,,,,BdTfrac1306C,20200925,1306,698,granite,subsurface
37,1306C_03,fracture,BdTfrac1306C,SW_NE,,,,1306.3,25.09.2020,,698,granite,subsurface,1.48,2.84,0.4,73.64,,0.01,9.74,0.39,0.2,34.28,12.2,9.01,8.57,226.5,178.6,155.5,,0.05,1,-13.63,-93.91,,,5.26,,,BdTfrac1306C.20200925,,,0.05,11.6,1.48,2.84,,,0.4,,73.64,0.01,9.74,,0.39,0.2,34.28,,8.565,178.6,,,,BdTfrac1306C,20200925,1306,698,granite,subsurface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no cations,BdTfrac1306C.20211115,9,204,0.0024,11.4,2.17,2.07,,,0.84,,73.72,,,,,,,,,,1503.99051,582.8388481,,BdTfrac1306C,20211115,1306,698,granite,subsurface
41,1306C_17,fracture,BdTfrac1306C,SW_NE,,,,1306.3,04.03.2021,,698,granite,subsurface,1.02,2.45,0.73,74.81,20,0.01,10.26,0.15,0.66,36.1,10,8.9,8.55,206,156.9,146,186,0.1,1,-13.45,-93.2,,,5.32,,,BdTfrac1306C.20210304,8.9,206,,10,1.02,2.45,,,0.73,,74.81,0.01,10.26,,0.15,0.66,36.1,,8.55,156.9,4298.144633,736.3131823,,BdTfrac1306C,20210304,1306,698,granite,subsurface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTfrac1306C.20210119_duplicate,,,,,1.44,2.44,,,1.07,,73.24,0.01,9.88,,0.12,0.23,35.95,,7.993,159.1,,,,BdTfrac1306C,20210119,1306,698,granite,subsurface
468,1306C_37,fracture,BdTfrac1306C,SW_NE,,,,1306.3,01.06.2021,16:15,698,granite,subsurface,,,,,,0.01,10.62,0.25,0.01,35.9,11.7,8.6,8.053,212,166.9,148,100,,1,-13.42,-93.28,,,,,,BdTfrac1306C.20210601,8.6,212,,11.7,,,,,,,,0.01,10.62,,0.25,0.01,35.9,,8.053,166.9,,,,BdTfrac1306C,20210601,1306,698,granite,subsurface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTfrac1306C.20211122,,,,,0.96,0.41,,,0.9,,23.08,,,,,,,,,,,,,BdTfrac1306C,20211122,1306,698,granite,subsurface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdTfrac1306C_1.20211118,,,,,1.66,1.99,,,0.82,,70.64,,,,,,,,,,,,,BdTfrac1306C_1,20211118,1306,698,granite,subsurface
160,1329_14,fracture,BdTfrac1329,SW_SW,,,,1329,19.01.2021,,731,granite,subsurface,,,,,,,,,,,8,9.59,,51.4,,36.5,155,0.0015,1,,,,,,,,BdTfrac1329.20210119,9.59,51.4,0.0015,8,,,,,,,,,,,,,,,,,,,,BdTfrac1329,20210119,1329,731,granite,subsurface
161,1329_17,fracture,BdTfrac1329,SW_SW,,,,1329,04.03.2021,,731,granite,subsurface,,,,,,,,,,,8.7,9.51,,57.2,,40.7,160,0.0014,1,,,,,,,,BdTfrac1329.20210304,9.51,57.2,0.00142857,8.7,,,,,,,,,,,,,,,,,,,,BdTfrac1329,20210304,1329,731,granite,subsurface
163,1333_17,fracture,BdTfrac1333,SW_SW,,,,1333,04.03.2021,,735,granite,subsurface,,,,,,,,,,,9.4,9.38,,61.6,,44.3,159,0.0023,1,,,,,,,,BdTfrac1333.20210304,9.38,61.6,0.002333,9.4,,,,,,,,,,,,,,,,,,,,BdTfrac1333,20210304,1333,735,granite,subsurface
162,1333_14,fracture,BdTfrac1333,SW_SW,,,,1333,19.01.2021,,735,granite,subsurface,,,,,,,,,,,9.3,9.83,,55.6,,39.6,155,0.0016,1,,,,,,,,BdTfrac1333.20210119,9.83,55.6,0.0016,9.3,,,,,,,,,,,,,,,,,,,,BdTfrac1333,20210119,1333,735,granite,subsurface
164,1449_14,fracture,BdTfrac1449,SW_SW,,,,1449,19.01.2021,,829,granite,subsurface,,,,,,,,,,,14.1,8.25,,446,,318,189,0.0007,,,,,,,,,BdTfrac1449.20210119,8.25,446,0.00067,14.1,,,,,,,,,,,,,,,,,,,,BdTfrac1449,20210119,1449,829,granite,subsurface
165,1449_17,fracture,BdTfrac1449,SW_SW,,,,1449,04.03.2021,,829,granite,subsurface,,,,,,,,,,,14,8.45,,488,,346,179,0.0003,,,,,,,,,BdTfrac1449.20210304,8.45,488,0.000333,14,,,,,,,,,,,,,,,,,,,,BdTfrac1449,20210304,1449,829,granite,subsurface
42,1494_01,fracture,BdTfrac1494,SW_NE,,,,1494,20.08.2020,,829,granite,subsurface,5.4,9.35,0,289.48,,0.14,31.21,0.17,1.09,103.93,15.4,8.78,8,692,538,489,,0.034,1,,,,,-0.59,,,BdTfrac1494.20200820,,,0.034,15.4,5.4,9.35,,0.34,,,289.48,0.14,31.21,,0.17,1.09,103.93,,7.998,538,,,,BdTfrac1494,20200820,1494,829,granite,subsurface
44,1494_07,fracture,BdTfrac1494,SW_NE,,,,1494,03.11.2020,,829,granite,subsurface,2.96,8.91,0,270.18,,0.13,31.86,0.23,0.27,109.47,13.4,8.12,8.42,518,507,366,190,0.029,1,,,,,5.3,,,BdTfrac1494.20201103,8.12,518,0.029,13.4,2.96,8.91,,,,,270.18,0.13,31.86,,0.23,0.27,109.47,,8.424,507,1971.242974,144.8099581,,BdTfrac1494,20201103,1494,,granite,subsurface
47,1494_17,fracture,BdTfrac1494,SW_NE,,,,1494,04.03.2021,,829,granite,subsurface,2.92,9.1,0,262.71,5,0.13,31.73,0.23,0.26,91.84,13,8.76,8.4,561,466,398,169,0.0275,1,-13.86,-96.48,,,-0.53,,,BdTfrac1494.20210304,8.76,561,0.0275,13,2.92,9.1,,,,,262.71,0.13,31.73,,0.23,0.26,91.84,,8.4,466,6590.418498,1279.596472,,BdTfrac1494,20210304,1494,829,granite,subsurface
45,1494_08,fracture,BdTfrac1494,SW_NE,,,,1494,15.12.2020,,829,granite,subsurface,4.67,9.06,0,297.58,10,0.13,31.86,0.26,0.23,117.66,13.1,7.89,8.55,515,511,364,150,0.027,1,-13.93,-97.08,,,2.83,,,BdTfrac1494.20201215,7.89,515,0.02742,13.1,4.67,9.06,,,,,297.58,0.13,31.86,,0.26,0.23,117.66,,7.87,481,7160.884137,1707.500098,,BdTfrac1494,20201215,1494,829,granite,subsurface
238,1494_20,fracture,BdTfrac1494,SW_NE,,,,1494,27.04.2021,14:20,829,granite,subsurface,4.24,8.66,,276.72,,0.15,29.4,0.31,0.25,106.37,13.2,8.64,7.33,551,448,391,137,0.027,1,-14.15,-97.4,,,,,,BdTfrac1494.20210427,8.64,551,0.027,13.2,4.24,8.66,,,0,,276.72,0.15,29.4,,0.31,0.25,106.37,,7.33,448,,,,BdTfrac1494,20210427,1494,829,granite,subsurface
467,1494_37,fracture,BdTfrac1494,SW_NE,,,,1494,01.06.2021,15:30,829,granite,subsurface,,,,,,0.29,33.37,1.02,0.01,108.77,13.2,8.6,7.92,562,468,399,97,0.02697,1,-13.92,-96.94,,,,,,BdTfrac1494.20210601,8.6,562,0.02697,13.2,,,,,,,,0.29,33.37,,1.02,0.01,108.77,,7.92,468,7139.41546,775.5186485,,BdTfrac1494,20210601,1494,829,granite,subsurface
46,1494_14,fracture,BdTfrac1494,SW_NE,,,,1494,19.01.2021,,829,granite,subsurface,3.98,8.64,0,274.2,10,0.13,31.39,0.22,0.23,108.71,13.4,8.84,7.87,511,481,351,151,0.0256,1,-13.87,-96.95,,,3.51,,,BdTfrac1494.20210119,8.84,511,0.02275,13.4,3.98,8.64,,,,,274.2,0.13,31.39,,0.22,0.23,108.71,,7.87,481,5331.027802,1380.886158,,BdTfrac1494,20210119,1494,829,granite,subsurface
513,1494_39,fracture,BdTfrac1494,SW_NE,,,,1494,08.07.2021,16:50,,granite,subsurface,4.41,9.32,0,288.49,,0.14,32.16,0.44,0.03,105.58,13,8.5,,557,,395,139,0.0227,1,,,,,,,,BdTfrac1494.20210708,8.5,557,0.0227,13,4.41,9.32,,,0,,288.49,0.14,32.16,,0.44,0.03,105.58,,,,1059.607626,176.317274,,BdTfrac1494,20210708,1494,,granite,subsurface
