X,Y,FR,stFR,Massets_cum_dis,lutz_total_spacing
3895,2709.277306,,,,26.5
3906.631514,2693.5782,,,,
3930.34483,2631.479015,,,,26.5
3931.514517,2628.4159,,,,
3950,2607,,,1.546391753,
3956.39752,2601.712,,,,
3979.827586,2588.208287,,,,22.5
3981.280523,2587.3709,,,,
4006.163527,2576.3188,,,,
4031.04653,2567.9598,,,,
4055.929533,2560.3729,,,,
4080.812536,2555.0295,,,,
4100,2551.037015,,,,25.5
4105.69554,2549.8519,,,,
4114.137931,2548.71374,,,,28.5
4128.275862,2546.807736,,,,10.5
4130.578543,2546.4973,,,,
4150,2543.1,,,2.06185567,
4155.461546,2543.0871,,,,
4156.551724,2542.935269,,,,9
4166,2541.619391,0.0446675,0.069995067,,
4180.34455,2539.6216,,,,
4192,2538.016265,0.0049,0,,9
4198,2537.189869,,,,
4205.227553,2536.1944,,,,
4213.103448,2534.47356,,,,4
4230.110556,2530.7576,,,,
4234.310345,2529.839969,,,,4.5
4234.35,2529.831305,,,,8
4240,2528.596811,0.17462,0,,
4250,2524,0.242,0,18.55670103,
4253,2525.756,0.06,0,,
4254.993559,2523.7902,,,,
4255.517241,2523.273719,,,,8.5
4255.52,2523.270999,,,,10
4268.1,2510.864,0.19125,0,,
4268.2,2510.765,0.003846,0,,
4269.655172,2511.437193,,,,10.5
4276.724138,2514.702588,,,,14
4279.876563,2516.1588,,,,
4288,2519.911,0.02,0,,
4304.759566,2507.0035,,,,
4312.068966,2504.504416,,,,18
4329.642569,2498.496,,,,
4347.413793,2497.203456,,,,19
4348,2497.16082,0.06138,0.001566908,,
4350,2496.9,,,2.06185567,
4354.525572,2496.6862,,,,
4379.408576,2503.7812,,,,
4389.827586,2508.845157,,,,17.5
4404.291579,2515.8751,,,,
4406.1,2516.8,0.0048885,0,,
4406.2,2516.8,0.01227,0,,
4429.174582,2523.9532,,,,
4446.37931,2527.512171,,,,17
4447,2527.640567,0.03757,0.006778975,,
4450,2528,,,1.546391753,
4454.057586,2529.1005,,,,
4478.940589,2535.722,,,,
4481.724138,2536.846964,,,,19.5
4495.862069,2542.560771,,,,13.5
4503.823592,2545.7784,,,,
4506,2547.096717,0.072120833,0.006758336,,
4528.706595,2560.8508,,,,
4531.206897,2562.442229,,,,13.5
4545.344828,2571.440947,,,,12.5
4553.589599,2576.6887,,,,
4566.551724,2571.287876,,,,14
4578.472602,2566.3209,,,,
4580.689655,2565.397138,,,,14
4589,2561.934534,0.0065,0,,
4599,2567.173658,0.020833,0.003754553,,
4603.355605,2567.3546,,,,
4616.034483,2567.964417,,,,19
4628.238608,2568.5514,,,,
4644.310345,2568.808856,,,,18.5
4644.32,2568.809011,,,,16.5
4650,2568.9,,,0.515463918,
4652,2569.566007,0.01475,0.002063734,,
4653.121612,2569.6139,,,,
4678.004615,2572.6727,,,,
4686.724138,2572.94361,,,,17
4702.887618,2573.4458,,,,
4727.770622,2573.1839,,,,
4729.137931,2573.480134,,,,17
4750,2578,,,1.030927835,
4750.344828,2578.146241,,,,16.5
4752,2578.848197,0.018208,0.003905086,,
4752.653625,2579.001,,,,
4771.551724,2584.122997,,,,15.5
4777.536628,2585.7451,,,,
4792.758621,2596.747046,,,,20
4799.827586,2601.856257,,,,18
4802.419631,2603.7297,,,,
4827.302635,2619.8894,,,,
4846,2626.263996,0.0164294,0.017196558,,
4849.310345,2626.873103,,,,17
4850,2627,,,0.515463918,
4852.185638,2628.3729,,,,
4877.068641,2636.9178,,,,
4898.793103,2643.611148,,,,16
4901.951644,2644.5843,,,,
4926.834648,2652.7881,,,,
4934.137931,2655.118999,,,,
4950,2660.181499,0.022768,0.005974958,1.030927835,
4951.717651,2660.7297,,,,
4955.344828,2661.88734,,,,18.5
4955.4,2661.904949,,,,15.5
4962.413793,2664.143453,,,,11.5
4969.482759,2666.399565,,,,9
4976.600654,2668.4178,,,,
4990.689655,2673.591882,,,,9
5000,2677.011038,0.0105,0,,
5001.483658,2677.5559,,,,
5011.896552,2682.275661,,,,10
5026.366661,2688.8344,,,,16
5026.4,2688.84874,,,,13
5050,2699,0.0016,0,1.030927835,
5051.249664,2700.3727,,,,
5061.37931,2708.237454,,,,16
5076.132667,2719.6921,,,,
5101.015671,2736.7324,,,,
5110.862069,2739.208383,,,,16
5125.898674,2742.9895,,,,
5132,2745.344504,0.015985,0.002281967,,
5150,2752.5939,,,3.092783505,
5175,2761.6963,,,,
5200.547684,2764.0698,,,,
5225.430687,2766.9135,,,,
