Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Borehole,2016.6,subsurface,55.26,0.19,22.19,0.43,,0,4.03,134.62
DELOS Borehole,2100,subsurface,47.97,0,30.57,0.23,,0,17.36,124.04
DELOS Borehole,2100,subsurface,45.93,0.26,30.13,0.31,10.26,0,16.53,118.46
DELOS Borehole,2030,subsurface,86.26,0,32.12,0.45,,0,4.57,230.56
DELOS Borehole,2030,subsurface,82.3,0,31.05,0.34,,0,4.22,209.63
DELOS Borehole,2030,subsurface,63.77,0,27.2,0.35,,0,3.44,173.71
DELOS Borehole,2030,subsurface,75.92,0,30.01,0.3,,0,4.04,198.19
DELOS Borehole,2030,subsurface,70.14,0.26,29.19,0.31,,0,3.88,186.8
DELOS Borehole,2030,subsurface,28.78,0,19.61,0.19,,0,2.24,78.99
DELOS Borehole,2030,subsurface,54.45,0.26,25.61,0.26,,0,3.31,148.58
